name,lat,lng,type,state,district,code
Manauri,25.4698192,81.6619051,train_station,,,MRE
Banahi,25.5613457,84.3911004,train_station,,,BYN
Danapur,25.5823023,85.0463248,train_station,,,DNR
Parsa Bazar,25.5496823,85.1190424,train_station,,,PRBZ
Iradatganj,25.3180224,81.8193512,train_station,,,IDGJ
Raja Talab,25.2637535,82.8510675,train_station,,,RTB
Allahabad City,25.4396813,81.8492933,train_station,,,PRRB
Getor Jagatpura,26.837001,75.8320226,train_station,,,GTJT
Dahar-Ka-Balaji,26.9445145,75.766114,train_station,,,DKBJ
Govindgarh Malikpur,27.2403553,75.6461932,train_station,,,GND
Vrindavan,27.576332,77.6942078,train_station,,,BDB
Dhaurmui Jaghina,27.2918739,77.5362053,train_station,,,DUM
Dhaulpur Junction,26.6963543,77.9059515,train_station,,,DHO
Hetampur,26.6108502,77.9437529,train_station,,,HET
Shivpuri,25.4380842,77.6381522,train_station,,,SVPI
Anand Junction,22.5617213,72.9659457,train_station,,,ANND
Sadanapura,22.6011883,73.0113438,train_station,,,SNA
Savli,22.555925,73.2272125,train_station,,,SVLI
Vishwamitri Junction,22.2846096,73.1789829,train_station,,,VS
Pratapnagar,22.2814988,73.2108325,train_station,,,PRTN
Makarpura,22.233662,73.1759325,train_station,,,MPR
Chhayapuri,22.3712532,73.1656446,train_station,,,CYI
Bajva,22.3668433,73.14378,train_station,,,BJW
Kanjari Boriyavi Junction,22.6156749,72.9218334,train_station,,,KBRV
Vadod,22.514477,73.0083139,train_station,,,VXD
Adas Road,22.4869052,73.0338876,train_station,,,ADD
Vasad Junction,22.4528694,73.0606454,train_station,,,VDA
Nandesari,22.4178037,73.0949186,train_station,,,NDR
Vallabh Vidynagar,22.5423493,72.9310688,train_station,,,VLYN
Pilol,22.4151532,73.2098796,train_station,,,PIO
Naroda,23.0854097,72.6580946,train_station,,,NRD
Vastrapur,23.0079064,72.5174367,train_station,,,VTP
Maninagar,22.9986596,72.6114013,train_station,,,MAN
Sabarmati,23.0770712,72.5890677,train_station,,,SBIB
Kappil,8.7795558,76.6792879,train_station,,,KFI
Mayyanad,8.8380291,76.6476808,train_station,,,MYY
Kadakavur,8.6786987,76.7676427,train_station,,,KVU
Chirayinkeezh,8.6595556,76.7855551,train_station,,,CRY
Settigunta,13.870358,79.3841762,train_station,,,SF
Yelahanka Junction,13.1050067,77.5918938,train_station,,,YNK
Varkala Sivagiri,8.7406369,76.723134,train_station,,,VAK
Nagothane,18.5402418,73.1406194,train_station,,,NGTN
Pune Junction,18.5288773,73.8744146,train_station,,,PUNE
Nature Cure Hospital,17.4456571,78.4521487,train_station,,,NCHS
Begumpet,17.4386951,78.4580969,train_station,,,BMT
Chalakudi,10.3023854,76.321561,train_station,,,CKI
Chandigarh Railway Station,30.7021622,76.8214533,train_station,,,CDG
Ghagghar,30.6102864,76.8482707,train_station,,,GHG
Dhulkot,30.3960955,76.7877754,train_station,,,DKT
Mohri,30.2555275,76.8504589,train_station,,,MOY
Shahabad Markanda,30.1658852,76.8616655,train_station,,,SHDM
Dhola Mazra,30.1153978,76.8538341,train_station,,,DHMZ
Dhirpur,30.0664157,76.8444394,train_station,,,DPP
Dhoda Kheri,30.0185597,76.8424108,train_station,,,DHKR
Kurukshetra Junction,29.9698587,76.8517108,train_station,,,KKDE
Amin,29.9046213,76.8996025,train_station,,,AMIN
Nilokheri,29.8319792,76.9254714,train_station,,,NLKR
Bhaini Khurd,29.7519953,76.9555293,train_station,,,BZK
Gharaunda,29.5408768,76.9653774,train_station,,,GRA
Kohand,29.4956582,76.9685943,train_station,,,KFU
Babarpur,29.4499843,76.9666194,train_station,,,BBDE
Diwana,29.3180709,76.9801567,train_station,,,DWNA
Bhodwal Majri,29.1852264,77.0084189,train_station,,,BDMJ
Ganaur,29.1315256,77.0110886,train_station,,,GNU
Barota,28.9038916,77.0591895,train_station,,,RDDE
Panipat Junction,29.3903294,76.964085,train_station,,,PNP
Bazida Jatan,29.6134124,76.9654962,train_station,,,BZJT
Narela,28.8464766,77.0856631,train_station,,,NUR
Sandal Kalan,29.0634081,77.0128043,train_station,,,SLKN
Holambi Kalan,28.8015786,77.1024832,train_station,,,HUK
Khera Kalan,28.7696903,77.1158609,train_station,,,KHKN
Karol Bagh,28.6440122,77.1885235,train_station,,,
Chandi Mandir,30.7270873,76.8872227,train_station,,,CNDM
Kalka,30.8392295,76.9315647,train_station,,,KLK
Khar Road,19.0682411,72.8400412,train_station,,,KHAR
Khanna,30.708775,76.223487,train_station,,,KNN
Rajpura Junction,30.4862768,76.5936242,train_station,,,RPJ
Jandiala,31.5892298,75.0568715,train_station,,,JNL
Kirti Nagar (Blue Line),28.655746,77.1506635,train_station,,,KNR
Shadipur,28.6515829,77.1582587,train_station,,,
Moti Nagar,28.657859,77.1424288,train_station,,,
Goraya,31.1298905,75.7741716,train_station,,,GRY
Khurdpur,31.4256904,75.7236871,train_station,,,KUPR
Tarakeswar,22.8823987,88.0142006,train_station,,,TAK
Sithouli,26.1465401,78.1872023,train_station,,,STLI
Virangana Lakshmibai Jhansi Junction,25.44395,78.5534422,train_station,,,VGLJ
Kuzhiturai,8.3013061,77.2186619,train_station,,,KZT
Nagercoil Junction,8.174535,77.4438789,train_station,,,NCJ
Aralvaymozhi,8.2483557,77.5279284,train_station,,,AAY
N. Panakudi,8.3146578,77.5814273,train_station,,,NPK
Nanguneri,8.4898391,77.6632221,train_station,,,NNN
Kadayanallur,9.0856852,77.3629798,train_station,,,KDNL
Jaisalmer,26.9150208,70.926746,train_station,,,JSM
Thaiyat Hamira,26.9932755,71.0782972,train_station,,,THM
Jetha Chandan,27.0000568,71.3065434,train_station,,,JCH
Odhaniya Chacha,26.9708019,71.723694,train_station,,,OCH
Ashapura Gomat,26.9505606,71.8930968,train_station,,,AQG
Ramdevra,27.0070434,71.9301472,train_station,,,RDRA
Dhelana,26.9467707,72.6528159,train_station,,,DLNA
Harlaya,26.8674124,72.7208476,train_station,,,HRLI
Manaklao,26.4562279,73.0203671,train_station,,,MLH
Kolayat,27.8362183,72.9554371,train_station,,,KLYT
Lalgarh Junction,28.0434306,73.3145354,train_station,,,LGH
Bikaner Junction,28.0152443,73.3156415,train_station,,,BKN
Nokha,27.5552713,73.4755961,train_station,,,NOK
Nagaur,27.2000117,73.7237044,train_station,,,NGO
Marwar Mundwa,27.0638466,73.815932,train_station,,,MDW
Munabao,25.7436798,70.2772337,train_station,,,MBF
Besroli,26.9913913,74.5612921,train_station,,,BSRL
Thathana Mithri,27.0551076,74.8980661,train_station,,,THMR
Saradhna,26.3405491,74.5663592,train_station,,,SDH
Piplaj,26.1669601,74.3807823,train_station,,,PPF
Beawar,26.1070559,74.3128424,train_station,,,BER
Charbhuja Road,25.300731,73.9215281,train_station,,,CBG
Jalor,25.3543102,72.6341645,train_station,,,JOR
Marwar Bhinmal,25.0010136,72.2757664,train_station,,,MBNL
Bhildi Junction,24.1944244,72.0093403,train_station,,,BLDI
Dharmapuri,12.1258613,78.154221,train_station,,,DPJ
Sriganganagar Junction,29.9319645,73.8723448,train_station,,,SGNR
Sadulshahar,29.9030191,74.1721767,train_station,,,SDS
Manaksar,29.6798664,74.383674,train_station,,,MNSR
Hanumangarh Town,29.5744086,74.3312387,train_station,,,HMO
Churu Junction,28.2888645,74.9664018,train_station,,,CUR
Napasar,27.9810152,73.5637013,train_station,,,NPS
Suratgarh Junction,29.3233801,73.907064,train_station,,,SOG
Loharu Junction,28.4271303,75.803209,train_station,,,LHU
Jhilo,27.848368,75.8850984,train_station,,,JLLO
Narnaul,28.0447722,76.1232728,train_station,,,NNL
Jaswantgarh,27.6676342,74.4429019,train_station,,,JSH
Bidiyad,26.9809136,74.7037141,train_station,,,BIDD
Gulabpura,25.9025321,74.6555833,train_station,,,GBP
Hosur,12.7183361,77.8229481,train_station,,,HSRA
Rayakkottai,12.5145014,78.027275,train_station,,,RYC
Pugalur,11.0514132,77.9916143,train_station,,,PGR
Karur Junction,10.9658076,78.0849562,train_station,,,KRR
Palayam.I,10.7188161,78.1292088,train_station,,,PALM
Caranzol,15.3603725,74.3061046,train_station,,,CRZ
Dudhsagar,15.3165303,74.3063621,train_station,,,DDS
Omalur Junction,11.7382934,78.0449299,train_station,,,OML
Chikhale,18.9737547,73.151941,train_station,,,CKHS
Thondebhavi,13.503993,77.5149549,train_station,,,TDV
Devarapalli,13.7232336,77.5119477,train_station,,,DPE
Malugur,13.8917927,77.5416645,train_station,,,MLU
Penukonda Junction,14.1000661,77.5945804,train_station,,,PKD
Hirehalli,13.2806649,77.1887827,train_station,,,HHL
Kyatsandra,13.3156102,77.147748,train_station,,,KIAT
Bardoli,21.1338291,73.1053896,train_station,,,BIY
Surat,21.2050293,72.8407427,train_station,,,ST
Madhi,21.1457123,73.2424025,train_station,,,MID
Parassala,8.3397236,77.165665,train_station,,,PASA
Banaswadi,13.0058357,77.6281321,train_station,,,BAND
Channasandra,13.0118566,77.6628136,train_station,,,CSDR
Ludhiana Junction,30.9122517,75.8493757,train_station,,,LDH
Nandol Dahegam,23.1734296,72.8161565,train_station,,,NHM
Agra Cantonment Junction,27.1589527,77.9900478,train_station,,,AGC
Kosli,28.4114849,76.4654844,train_station,,,KSI
Jalandhar Cantonment Junction,31.3073313,75.6311992,train_station,,,JRC
Malavli,18.7442145,73.4801637,train_station,,,MVL
Chiplun,17.5423529,73.522233,train_station,,,CHI
Khed,17.7125696,73.4106638,train_station,,,KHED
Apta,18.8637081,73.1532989,train_station,,,APTA
Kanwalpura,24.7807321,75.9830709,train_station,,,KIW
Bhawani Mandi,24.4192876,75.8302837,train_station,,,BWM
Vaitarna,19.5186517,72.8499772,train_station,,,VTN
Saphale,19.5771316,72.8218812,train_station,,,SAH
Khandala,18.7548469,73.3767092,train_station,,,KAD
Sikanderpur,28.4812716,77.0930017,train_station,,,SKRP
Chamarajapuram,12.2981544,76.6378623,train_station,,,CMJ
Delhi Aerocity,28.5487786,77.1207949,train_station,,,DACY
Hauz Khas (Yellow Line),28.5442564,77.2067072,train_station,,,HKS
Shivaji Stadium,28.6288963,77.2113218,train_station,,,SJSU
New Delhi,28.6434826,77.2227421,train_station,,,NDLS
Kalianpur,26.5032517,80.2526863,train_station,,,KAP
Indore Junction,22.7170064,75.8684722,train_station,,,INDB
Tis Hazari,28.6671626,77.2166306,train_station,,,
Daliganj,26.8753418,80.9275723,train_station,,,DAL
Lucknow Charbagh,26.8311583,80.9243609,train_station,,,LKO
Lucknow City,26.8593065,80.9180893,train_station,,,LC
Mohiuddinpur,28.8857645,77.6220085,train_station,,,MUZ
Meerut Cantonment,29.0163246,77.6870982,train_station,,,MUT
Gamharia Jn.,22.7965697,86.1011327,train_station,,,GMH
Asarva,23.0440925,72.6132157,train_station,,,ASV
Sardargram,23.0715012,72.6424393,train_station,,,SDGM
Dabhoda,23.1647156,72.7435768,train_station,,,DBO
Rakhiyal,23.2541891,72.8994569,train_station,,,RKH
Talod,23.3513439,72.9477713,train_station,,,TOD
Prantij,23.4304431,72.8664235,train_station,,,PRJ
Sonasan,23.4884484,72.8940932,train_station,,,SNSN
Raigadh Road,23.5972352,73.1840575,train_station,,,RGQ
Shamlaji Road,23.6344945,73.3426997,train_station,,,SJS
Lusadiya,23.6856342,73.4209559,train_station,,,LSD
Jagabor,23.7402458,73.453782,train_station,,,JO
Bechhiwara,23.7878716,73.5351876,train_station,,,BHWA
Shri Bhavnath,23.8143897,73.5853022,train_station,,,SBHN
Umra,24.5229721,73.7722414,train_station,,,UMRA
Degana Junction,26.8970658,74.316992,train_station,,,DNA
Changsari,26.2615608,91.6940301,train_station,,,CGS
New Jalpaiguri Junction,26.6828552,88.4424796,train_station,,,NJP
Fateha,25.5990649,85.8628787,train_station,,,FAH
Mohiuddinnagar,25.60653,85.7036896,train_station,,,MOG
Laksar Junction,29.7515434,78.0212446,train_station,,,LRJ
Saharanpur Junction,29.9614586,77.5412397,train_station,,,SRE
Haridwar,29.9474705,78.1543255,train_station,,,HW
Kartarpur,31.4329248,75.4918386,train_station,,,KRE
Kendrapara Road,20.4985117,85.9178107,train_station,,,KNPR
Padubidri,13.1969885,74.7680651,train_station,,,PDD
Bhatkal,13.9893566,74.5656301,train_station,,,BTJL
Karwar,14.8202478,74.1825906,train_station,,,KAWR
Karmali,15.4904538,73.9245522,train_station,,,KRMI
Roha,18.44658,73.1238722,train_station,,,ROHA
Naya Ghaziabad,28.6743756,77.4377864,train_station,,,GZN
Kalanour,30.0828384,77.3398383,train_station,,,KNZ
Kalaikunda,22.3296296,87.2448777,train_station,,,KKQ
Sini Junction,22.7891015,85.946823,train_station,,,SINI
Belagavi,15.8490568,74.5089431,train_station,,,BGM
Budaun,28.0286498,79.137005,train_station,,,BEM
Patiala,30.3421592,76.4022665,train_station,,,PTA
Siddampalli,13.1598669,79.1371192,train_station,,,SIE
Pakala Junction,13.4509043,79.1145053,train_station,,,PAK
Rupsa Junction,21.6223651,87.018874,train_station,,,ROP
Jaleswar,21.7976371,87.2200637,train_station,,,JER
Sora,21.2911418,86.6923513,train_station,,,SORO
Bhadrak Junction,21.0909064,86.5165421,train_station,,,BHC
Jakhapura Junction,20.9162794,86.0647151,train_station,,,JKPR
Jajpur Keonjhar Road Junction,20.9435669,86.133103,train_station,,,JJKR
Byree,20.6284141,86.0351983,train_station,,,BYY
Dhanmandal,20.6868438,86.1124226,train_station,,,DNM
Narayangarh,22.1738624,87.3810303,train_station,,,NYA
Vizianagaram Junction,18.1114637,83.396325,train_station,,,VZM
Santragachi Junction,22.5846995,88.2830722,train_station,,,SRC
Visakhapatnam,17.7214305,83.2906223,train_station,,,VSKP
Gadwal,16.2251954,77.809493,train_station,,,GWD
Chigicherla,14.5165673,77.6840937,train_station,,,CCA
Zangalapalli,14.590082,77.641803,train_station,,,ZPL
Ramaraju Palli,15.041212,77.6174948,train_station,,,RRJ
Turkapalli,15.0872866,77.6281369,train_station,,,TKPY
Gooty Junction,15.1495485,77.625239,train_station,,,GY
Pendekallu Junction,15.3743039,77.6485895,train_station,,,PDL
Malliyala,15.3969207,77.7753409,train_station,,,MYL
Dhone Junction,15.3953323,77.8680662,train_station,,,DHNE
Veldurti,15.5535593,77.9274543,train_station,,,VDI
Dupadu,15.7429853,78.0131055,train_station,,,DUU
Kurnool City,15.8325993,78.0326224,train_station,,,KRNT
Alampur Road,15.8955201,78.0468145,train_station,,,ALPR
Raiwala Junction,30.0324451,78.2098631,train_station,,,RWL
Turavur,9.7749279,76.3102752,train_station,,,TUVR
Cherthala,9.6912036,76.3257168,train_station,,,SRTL
Jalgaon Junction,21.0179798,75.5632539,train_station,,,JL
Ramanagaram,12.7210476,77.2837376,train_station,,,RMGM
Kalva,19.1952243,72.9963331,train_station,,,KLVA
Kanjur Marg,19.1296868,72.9283701,train_station,,,KJRD
Vidyavihar,19.0795422,72.8971169,train_station,,,VVH
Lower Parel,18.99568,72.8302756,train_station,,,PL
Diva Junction,19.1887564,73.0414169,train_station,,,DIVA
Grant Road,18.9633549,72.8158261,train_station,,,GTR
Delhi Cantonment,28.6117094,77.1156635,train_station,,,DEC
Chembur,19.0612128,72.8975909,train_station,,,
Bhakti Park,19.028972,72.8775722,train_station,,,
Wadala Depot,19.0388244,72.8740249,train_station,,,
Karjat,18.9099653,73.3209629,train_station,,,KJT
Junagadh Junction,21.5294132,70.4578106,train_station,,,JND
Visavadar Junction,21.3402401,70.7557328,train_station,,,VSW
Gondal,21.9721823,70.7955235,train_station,,,GDL
Baghajatin,22.4827391,88.3866708,train_station,,,BGJT
Ballygunge Junction,22.5193414,88.3719778,train_station,,,BLN
Maddur,12.6046711,77.0496996,train_station,,,MAD
Kokpara,22.4747948,86.634545,train_station,,,KKPR
Chakulia,22.4784295,86.7219072,train_station,,,CKU
Londa Junction,15.4489495,74.4954976,train_station,,,LD
Alnavar Junction,15.4245112,74.7383026,train_station,,,LWR
Kundgol,15.2588827,75.2500447,train_station,,,KNO
Ranebennuru,14.625888,75.6357245,train_station,,,RNR
Sambre,15.8843177,74.5772092,train_station,,,SXB
Miraj Junction,16.8186596,74.6397627,train_station,,,MRJ
Bhavani Nagar,17.1569206,74.3133283,train_station,,,BVNR
Takari,17.1330025,74.3582285,train_station,,,TKR
Shirvade,17.3608896,74.1577118,train_station,,,SIW
Targaon,17.5143166,74.1562096,train_station,,,TAZ
Karad,17.3096343,74.2168653,train_station,,,KRD
Satara,17.6883359,74.0631835,train_station,,,STR
Bhanapur,15.3865703,76.0389709,train_station,,,BNP
Guledgudda Road,16.0673054,75.694556,train_station,,,GED
Bagalkot,16.1793224,75.6999315,train_station,,,BGK
Almatti,16.3450459,75.9012249,train_station,,,LMT
Vijayapura,16.830361,75.7394766,train_station,,,BJP
Neral,19.0274308,73.3184369,train_station,,,NRL
Chitradurga,14.2307965,76.3864729,train_station,,,CTA
Latur Railway Station,18.4294563,76.5557973,train_station,,,LUR
Shastri Park,28.6684339,77.2505301,train_station,,,
Seelampur,28.6698165,77.2668137,train_station,,,
Welcome (Red Line),28.6717907,77.2778473,train_station,,,WC
Shahdara,28.6734298,77.2898858,train_station,,,
Delhi Shahdara Junction,28.6734557,77.2922087,train_station,,,DSA
Jhilmil,28.6757197,77.3123949,train_station,,,
Vivek Vihar,28.6731908,77.3182947,train_station,,,VVB
Shastri Nagar,28.6700885,77.1818589,train_station,,,
Inderlok (Red Line),28.6735891,77.1703467,train_station,,,
Kanhaiya Nagar,28.6824082,77.1647754,train_station,,,
Keshav Puram,28.6889264,77.1616833,train_station,,,
Netaji Subhash Place (Red Line),28.6960485,77.1524856,train_station,,,
