name,lat,lng,type,state,district
park 89th,18.7504088,79.4888498,park,,
Park,23.1233422,88.1939033,park,,
Moti Park,26.8875343,75.8109605,park,,
Savitri Park,26.8880625,75.8091472,park,,
Park,19.0671908,73.0657898,park,,
On way to  Binsar guest house,29.679259,79.7168025,park,,
Children's Traffic Park,21.1783608,72.8144049,park,,
Picnic Hut,28.6896603,77.1815909,park,,
Jayadev Batika,20.2648191,85.7808502,park,,
Honeymoon Point,24.5987144,72.6981499,park,,
Lake Nakki Overlook,24.597337,72.7035409,park,,
"Manas Mandir Kalyan Samiti, park",27.1815675,77.9762593,park,,
sarabong,20.8117174,82.4639324,park,,
"lanjimar,odisha",20.7993583,82.4602372,park,,
avenue-E block 3,21.1893023,81.3444337,park,,
Park,21.1899942,81.3339639,park,,
Sutiya Pat,21.7890608,81.0524999,park,,
bsp hss sec6,21.1987842,81.3460223,park,,
SMP Junction,10.7600913,76.2761191,park,,
NANA-NANI PARK,19.0698753,72.9120691,park,,
drd park,19.0430184,72.9115187,park,,
green park,18.9512251,72.8298996,park,,
kamagarh,20.823327,86.0838474,park,,
brahmanidevi yuoth club kamagarh,20.8245237,86.0810544,park,,
Mahatmagandhi park  Ganpur,20.2358319,85.4846677,park,,
Park,26.2812709,73.0153577,park,,
amar park,27.2295125,77.9115599,park,,
alka puri colony park,27.1868141,77.9812168,park,,
Park,12.9964249,77.7649169,park,,
Krazy Castle Amusement Park,21.1285258,79.0464959,park,,
Joggers Park,21.113901,79.0376166,park,,
NIT Garden,21.1177154,79.0363002,park,,
Buddha Murti Park,21.1114302,79.0239585,park,,
Phoolbagh,26.2112178,78.1697042,park,,
Ravindra Nagar Garden,21.1094498,79.0527176,park,,
Walkers Park,21.1082442,79.0513205,park,,
Rotari Bal Udyan,21.1140052,79.0534735,park,,
Kumhrar Excavation Park,25.5992037,85.1848832,park,,
Park,20.1525164,72.8280607,park,,
Park,21.0961608,79.0684567,park,,
Dev Nagar Ground,21.1183595,79.0701897,park,,
Park,16.9801669,81.7843698,park,,
The Temple Dance Park,16.992769,81.7764116,park,,
P.V. Narasimharao Park,16.9994794,81.7683081,park,,
Park,17.0007775,81.7961185,park,,
Park,17.0031956,81.7852747,park,,
Samhita Newgen Childrens Recreation Park,17.0040658,81.7957137,park,,
Prakash Nagar Round Park,17.0069064,81.7874592,park,,
Danvai Peta Gandhi Park,17.0073838,81.7825421,park,,
Walkers Park,17.010585,81.8040496,park,,
Muncipal Park,17.0107753,81.7746828,park,,
Mahalakshmi Municipal Corporation Park,17.0135989,81.8045614,park,,
Municipal Park,17.0155565,81.78099,park,,
Vivekananda Muncipal Park,17.0190599,81.784066,park,,
Municipal Park,17.0219009,81.7841103,park,,
Park,17.0222301,81.8020619,park,,
Dr B R Ambedkar Park,17.0229435,81.7715506,park,,
Park (Under Preparation),17.0233703,81.8045555,park,,
Muncipal Park,17.0259605,81.7798254,park,,
Battina Subbarao Park,17.0309607,81.7907378,park,,
Sri Rama Krishna M.C.R Park,17.0347692,81.7819183,park,,
janak park,27.2130687,78.0246402,park,,
swami vivekanand park,27.2128203,77.9946172,park,,
agrasen Seva Sadan,27.2147355,78.0157593,park,,
kone park two,27.2196064,78.0239107,park,,
vimal vatika,27.2220231,78.0252268,park,,
Saraswati garden,27.1849703,78.0021817,park,,
Ratn muni jain inter college,27.1889515,77.9898933,park,,
Nehru Park,14.8712296,79.3109134,park,,
Park,27.1532659,77.9990677,park,,
Bal Vihar,27.2069525,78.0459892,park,,
gatte ki factory,27.2085922,78.0433102,park,,
colony park,27.2076522,78.0443733,park,,
colony park,27.2074566,78.0447596,park,,
Park,27.206432,78.0448096,park,,
Hanuman Park,27.2052415,78.0466812,park,,
Park,27.2046069,78.0449056,park,,
Park,27.2079895,78.0461931,park,,
Park,27.2059428,78.043586,park,,
Park,27.2054848,78.0436879,park,,
Park,27.2049552,78.0435913,park,,
chini roja park,27.2004609,78.0350163,park,,
Park,27.205828,78.0448001,park,,
MAU FILD,27.2250569,77.9869884,park,,
ram chndra fild,27.2250843,77.983161,park,,
Ambedkar Park,27.1455498,78.0136093,park,,
priymari school,27.2199305,77.9883456,park,,
kalindripurm,27.2148142,77.9873049,park,,
suylok colony,27.2182299,77.9899657,park,,
market,27.2203694,77.9866075,park,,
j.p. nagar crossing,27.2141797,77.9884153,park,,
shop,27.2168274,77.9883241,park,,
sector 11 park,27.202707,77.9626989,park,,
buddha park,27.2152052,78.0671425,park,,
jay stambh,21.038968,81.5469775,park,,
rani park,22.5991796,80.3712123,park,,
"Bhausaheb Tathe, Jogging Park",19.9101148,75.3517169,park,,
S T Bed Park at 5th Cross,12.9342822,77.6317632,park,,
S T Bed Park and Field at 8th Cross,12.9330379,77.6329291,park,,
Park,26.2190001,73.0222144,park,,
Medico Park,21.1249459,79.0968623,park,,
savana char rasta,20.0920552,72.889266,park,,
Amberpet T Jn,17.3920945,78.5163637,park,,
boys hostel;peace park,30.3439407,77.883459,park,,
Anu dhodi,20.1231068,72.8741584,park,,
SK Nizam Park,18.949838,72.8397419,park,,
santi park,19.019633,72.8628095,park,,
sam,19.0400958,72.9466514,park,,
school ground,19.3098892,73.0551577,park,,
new ggp,12.1421376,75.2493904,park,,
childrens park,19.8441121,73.9981254,park,,
children park,19.0786873,72.9139937,park,,
unity park,19.0450404,72.9336572,park,,
sng paark,19.0503408,72.8914636,park,,
sheetal park,21.2409,72.8152879,park,,
Shantigiribaba Park,20.0244151,75.166255,park,,
walking park,16.6933169,74.2467631,park,,
Park,19.9016909,75.3214756,park,,
hutatma smarak,20.5666544,75.5506814,park,,
Himayat Bagh,19.9030529,75.3408494,park,,
Shahid Dhruv Lal Yadav Park,28.6787876,77.3813686,park,,
water park,19.934022,75.2284164,park,,
Gupha Dara,27.216455,88.6371261,park,,
Barpipal Dara,27.2139934,88.6335641,park,,
Pared Ground,24.7133145,78.1382776,park,,
Villupuram Municipality Park,11.9398285,79.4945645,park,,
Children's Park,8.8833571,76.5933386,park,,
Ambedkar Park,17.334355,76.8359541,park,,
Balibandha Park,21.4682861,83.9647251,park,,
Bhimabhoi Park,21.4883422,83.9766185,park,,
Sena Park,21.4628706,83.9753662,park,,
Park,17.3340843,78.4908737,park,,
Park,17.3519759,78.4911921,park,,
Park,28.5239533,77.2556753,park,,
Mahatma Gandhi Park,14.1667586,75.0256971,park,,
Park,17.3966437,78.4537811,park,,
Indira Gandhi Park,16.7487232,77.4922601,park,,
Uday Park Park-1,29.0663461,77.7141683,park,,
Uday Park Park-2,29.0669627,77.7147477,park,,
Park,18.9671423,72.8145625,park,,
Park,12.9950723,77.6634324,park,,
Crek Park,22.9384705,88.4139717,park,,
Ganesh Maidan,19.1726378,72.8676047,park,,
Nehru Park,12.9758437,79.2914167,park,,
Cycle Park,12.9708358,79.2898839,park,,
SHUBHANKAR SHISHU UDDAN,24.9985648,88.14678,park,,
Mandala Organic Garden,18.9942328,73.2694671,park,,
Park,21.2221173,72.8334306,park,,
Dabholi Lake,21.2354261,72.807409,park,,
ntr,18.0662617,78.2726099,park,,
Park,17.5991515,77.7065195,park,,
padma rao nagar park,17.4254852,78.5072665,park,,
brooke bond colony park,17.4256102,78.5082943,park,,
Park,17.2497313,79.6832036,park,,
sandhyapark,16.926871,79.8366008,park,,
Park,18.1185,78.81803,park,,
siddipeet,18.1171642,78.8168069,park,,
Park,18.8853969,78.6734364,park,,
park,18.8855104,78.6733372,park,,
karjapaly,19.4786874,79.5902404,park,,
ful bag,28.8011593,79.0276871,park,,
park,16.548447,78.7466051,park,,
christian coklony,17.6776462,77.6245607,park,,
ashokpark,17.4364177,79.3809891,park,,
play ground,17.2331031,79.413374,park,,
GAJWEL,17.3560375,78.4632898,park,,
Park,17.3574921,78.4642218,park,,
Park,18.8332505,78.9414171,park,,
Park,18.8651722,79.4728126,park,,
indian park,18.8845852,79.4460701,park,,
mango garden,17.6195736,77.6790348,park,,
N.T.R Park,19.1035952,77.9751903,park,,
nehru park,19.1163681,77.9620772,park,,
Pul Deshpande Garden,18.4441312,73.8008065,park,,
Trimurti Udyan,26.6205481,92.7911665,park,,
Shri M Hamid Ansari - Planted Tree,13.0292739,77.5636598,park,,
Circle Park,18.6504237,72.8746661,park,,
"Devka beach ,Nani Daman",20.4458879,72.8330755,park,,
Moti Daman Jetty Park,20.4102562,72.8350273,park,,
"Nandanam Park,Balaji nagar",14.4426311,79.9910426,park,,
Joggers Park,21.1119409,79.067397,park,,
Park,21.2041524,81.2565952,park,,
Lal Maidan Shashank,19.2318831,73.1350707,park,,
Divyaramam Nursery,13.651711,79.4164839,park,,
Jibeesh Park,10.6133791,76.1983394,park,,
Annand Sarovar,23.8453729,71.9098433,park,,
radhe,22.5531867,72.1984565,park,,
SBI Colony Park,16.9830457,82.2309836,park,,
college park,27.1937981,78.0018054,park,,
Joggers Park,19.2162523,72.8177768,park,,
Park,22.7956546,86.2454556,park,,
Pithori Shirasgoan Tanda,19.4815764,75.8085568,park,,
Park,22.8058973,86.1696984,park,,
Park,23.1666823,75.8067387,park,,
Sinhagad Vikas Udyan,18.4656426,73.8176244,park,,
kanhiya park,27.2132458,78.02551,park,,
sector 11 fieldS,27.2032056,77.9696352,park,,
Kunjwani Park,32.6672643,74.8751922,park,,
park,13.3407018,75.7741897,park,,
Shahjahan Garden,27.1745153,78.0269785,park,,
ambedker park,27.1814998,77.966538,park,,
MEHEK COLONY PARK,27.2038808,77.9702588,park,,
mittal park,27.19036,77.9609871,park,,
Kamla Baug,21.6380186,69.6239172,park,,
Marut Kandan Park,27.4831754,95.3626826,park,,
Rao Jodha Desert Rock park,26.3007638,73.01579,park,,
tagoor nager park,27.2199636,78.0025949,park,,
manegbaug,23.0114634,72.550513,park,,
big ground,27.1743433,77.9939656,park,,
KAJAL DIGHI WONDERLAND (ToyTrain),21.6271716,87.5035469,park,,
Park,23.3340116,86.3654142,park,,
Subhas Park,23.3360222,86.3588924,park,,
tara chand park,27.1531295,77.9986667,park,,
Biodiversity Complex,17.429105,78.3759577,park,,
Park,11.0037795,77.0383192,park,,
Gandhi Bagh (Park),24.8270921,92.798397,park,,
Morugappa Cricket Ground,13.1260715,80.1146085,park,,
Child Park,8.5100864,76.9559646,park,,
वानर हाउस । My Dear's Moneky House | भीम भीड़क,26.2961721,72.9567171,park,,
Bondhu Dal Club,22.5022766,88.3139358,park,,
Behala Club Grounds,22.5053053,88.3143773,park,,
Bhutnath Park,22.5030622,88.3111851,park,,
Park,12.2941386,79.7955101,park,,
Kabir Das Hostel Lawn,12.0293645,79.8490781,park,,
Kali Das Lawn,12.0300194,79.8496354,park,,
Tengina Topu,12.3017789,76.6329252,park,,
The Park,16.5203882,80.6722687,park,,
Park,16.9627609,82.2318799,park,,
Park,13.3453534,77.1191277,park,,
Park,19.5354526,75.7698982,park,,
Mahaveer Swami Park,25.2559398,79.1395776,park,,
Parijat Garden,19.8643534,75.3655959,park,,
Park,25.4550195,75.6412571,park,,
beach park,10.5742119,76.007284,park,,
play ground,11.1048175,77.3403956,park,,
Subhlaxmi society,23.6109795,72.3984906,park,,
Jesta Nagrik Garden,16.8645035,74.6009853,park,,
Shop,10.6446119,76.1439627,park,,
Swapnanagari,16.8367333,74.5967473,park,,
Ground,10.6723891,76.1384365,park,,
Nana Nani Park,16.8606382,74.5584647,park,,
Samajik Vanikaran Vibhag Karalay,16.8727721,74.6259905,park,,
C.Q.A.V,19.1138776,74.7443581,park,,
Mahatma Jyotiba Phule Udyan,20.0092087,73.7099629,park,,
Saikrupa Lawns,17.8917725,75.0059366,park,,
Pandav Nagari park,19.9579704,73.7797063,park,,
Majha Ausanpur,26.633698,82.5153852,park,,
Varjeshwari Friend Circle Garden,19.9784047,73.8439171,park,,
