name,lat,lng,type,state,district,operator
Karur Vysya Bank,12.9427987,80.1401099,atm,,,Karur Vysya Bank
Karur Vysya Bank,12.9513752,80.1426466,atm,,,Karur Vysya Bank
Indian Bank,28.5403687,77.1847626,atm,,,Indian Bank
ATM,28.5684348,77.2171793,atm,,,
HDFC Bank,28.5683654,77.2186625,atm,,,HDFC Bank
ATM,28.4387396,77.0052866,atm,,,
Axis Bank,8.5189606,76.9610023,atm,,,Axis Bank
State Bank of India,8.5190016,76.9610121,atm,,,State Bank of India
ICICI Bank,12.9940976,77.571267,atm,,,ICICI Bank
State Bank of India,12.6178924,80.1941041,atm,,,State Bank of India
State Bank of India,12.9458006,80.1382213,atm,,,State Bank of India
State Bank of India,13.018555,77.558819,atm,,,State Bank of India
ATM,28.4616667,77.024146,atm,,,
Deutsche Bank,13.0425953,80.2473617,atm,,,Deutsche Bank
State Bank of India,31.5330394,76.9056302,atm,,,State Bank of India
Punjab National Bank,31.516154,76.8844425,atm,,,Punjab National Bank
Canara Bank,12.9518868,80.1408436,atm,,,Canara Bank
State Bank of India,30.6882979,76.8036159,atm,,,State Bank of India
Bank of India,13.0016506,77.5694522,atm,,,Bank of India
"State Bank of India, Training centre",9.9632578,76.2381638,atm,,,State Bank of India
South Indian Bank,9.9651275,76.2434898,atm,,,South Indian Bank
Corporation Bank,13.0266169,77.5346987,atm,,,Corporation Bank
UCO,13.0055316,77.569732,atm,,,UCO
ATM,28.636867,77.0934463,atm,,,
Punjab Bank,28.636705,77.0965516,atm,,,
HDFC Bank,28.6365657,77.0973217,atm,,,HDFC Bank
ATM,28.6460886,77.2070915,atm,,,
Kotak Mahindra Bank,13.0010742,77.569202,atm,,,Kotak Mahindra Bank
ATM,10.9968852,76.9961928,atm,,,
ATM,11.021151,76.9943348,atm,,,
ATM,11.0242576,77.006414,atm,,,
ATM,11.0256161,77.0163456,atm,,,
State Bank of India,8.510143,76.9606327,atm,,,State Bank of India
Syndicate Bank,13.0085354,77.5694521,atm,,,Syndicate Bank
Bank Of India,23.0116557,72.5687622,atm,,,Bank Of India
IDBI Bank,18.5665975,73.9187056,atm,,,IDBI Bank
HDFC Bank ATM,19.1669592,73.2341942,atm,,,HDFC Bank
Union Bank of India,26.1283955,83.7392706,atm,,,Union Bank of India
citibank,17.4245414,78.4315999,atm,,,Citibank
Syndicate Bank,12.9836146,77.5948986,atm,,,Syndicate Bank
CorpBank,13.0076434,77.5779662,atm,,,CorpBank
DhanlaxmliBank,13.0067463,77.5788817,atm,,,DhanlaxmliBank
Canara Bank,12.985511,77.5889985,atm,,,Canara Bank
Karnataka Bank,12.9686616,77.5875127,atm,,,Karnataka Bank
State Bank of Travancore,10.8422136,76.0300244,atm,,,State Bank of Travancore
ICICI Bank,10.7693349,79.1131788,atm,,,ICICI Bank
State Bank of India,10.7694544,79.1129697,atm,,,State Bank of India
State Bank of India,12.9733292,77.5824593,atm,,,State Bank of India
Syndicate Bank,13.0014631,77.5983593,atm,,,Syndicate Bank
Standard Chartered,13.0143993,77.5835124,atm,,,Standard Chartered
Canara Bank,12.9784725,77.5696765,atm,,,Canara Bank
Citibank,12.9484631,77.5798653,atm,,,Citibank
ATM,28.5099957,77.1682199,atm,,,
HDFC Bank,28.5098513,77.1682149,atm,,,HDFC Bank
CUB ATM,11.3105689,77.5514346,atm,,,City Union Bank
State Bank of India,11.0129816,76.9858831,atm,,,State Bank of India
Karur Visya Bank,11.0414867,76.9826814,atm,,,Karur Visya Bank
Indian Bank,11.0409322,76.9823368,atm,,,Indian Bank
Andhra Bank,17.2401541,80.1430856,atm,,,
Andhra Bank,17.2433022,80.1382876,atm,,,Andhra Bank
ATM,28.5203641,77.2059863,atm,,,
ATM,28.5232994,77.2071199,atm,,,
ATM,34.0727102,74.8184424,atm,,,
Andhra Bank,17.4333035,78.405506,atm,,,Andhra Bank
RBS,17.4452017,78.4641516,atm,,,RBS
ING,17.4452093,78.4645808,atm,,,ING
Bank of India,17.4447551,78.4645902,atm,,,Bank of India
Citibank,17.4436222,78.4802638,atm,,,Citibank
Canara Bank,17.4378187,78.5108106,atm,,,Canara Bank
State Bank,17.428384,78.5279463,atm,,,State Bank
State Bank of India,17.43336,78.45607,atm,,,State Bank
CitiBank,17.4445563,78.4670675,atm,,,CitiBank
Axis Bank,11.344752,77.7180803,atm,,,Axis Bank
Canara Bank ATM,9.7082521,76.6728493,atm,,,
Axis Bank ATM,9.7078569,76.6714767,atm,,,
SBI ATM,9.7105402,76.6804477,atm,,,
Federal Bank,9.7135128,76.685712,atm,,,Federal Bank
Federal Bank,9.708498,76.6735038,atm,,,
Indian Overseas Bank,10.9953806,76.9754253,atm,,,Indian Overseas Bank
State Bank of India,11.3288017,77.7258439,atm,,,State Bank of India
UCO Bank,13.0249229,77.5928698,atm,,,UCO Bank
Vijaya Bank,13.0248113,77.5934442,atm,,,
Citibank,13.0249491,77.5926439,atm,,,Citibank
State Bank,17.4645715,78.4835136,atm,,,State Bank
IDBI Bank,18.9608459,72.8322092,atm,,,IDBI Bank
State Bank of India,30.3744119,75.5438129,atm,,,State Bank of India
