name,lat,lng,type,state,district
Union Bank of India,28.5703926,77.332833,bank,,
State Bank of India,29.0265584,77.0740788,bank,,
State Bank of India,28.5907277,77.3190364,bank,,
ICICI Bank,10.2484548,78.8126368,bank,,
Pandian Grama Bank,10.2497016,78.810364,bank,,
State Bank of India,12.9990578,77.5695202,bank,,
Canara Bank,26.8725053,80.9603961,bank,,
UCO Bank,26.8614412,80.9923002,bank,,
Bank of India,26.8647922,80.9962852,bank,,
HDFC Bank,28.4795667,77.0837751,bank,,
IndusInd Bank,28.4793231,77.0828744,bank,,
ABN Amro,28.4794447,77.0828708,bank,,
Axis Bank,28.4801441,77.0895234,bank,,
HDFC Bank,17.4380102,78.4484466,bank,,
State Bank of India,8.5216227,76.9609623,bank,,
ICICI Bank (Main Branch),12.3063337,76.6451531,bank,,
Canara Bank,12.2951146,76.6418418,bank,,
State Bank of India,11.0598339,76.3490752,bank,,
HDFC Bank,12.9432204,80.134181,bank,,
Indian Bank,28.5403461,77.1847884,bank,,
Bank,32.2152648,76.3180809,bank,,
Karur Vysya Bank,12.9513346,80.1427536,bank,,
Indian Bank,12.9516296,80.1431223,bank,,
Himachal Gramin Bank,31.9643185,77.0574813,bank,,
DNS Bank,19.1648978,73.2385136,bank,,
ICICI Bank,12.996974,77.5678633,bank,,
Corporation Bank,12.9933312,77.57187,bank,,
State Bank of India,11.9905149,79.8336319,bank,,
State Bank of India,31.532725,76.9059036,bank,,
The Credit Coop Society,31.5344259,76.9022161,bank,,
HP State Cooperative Bank,31.5333359,76.9022769,bank,,
Bank of Baroda,31.5282434,76.8886878,bank,,
Indian Overseas Bank,31.5314141,76.88954,bank,,
Union Bank of India,31.5344791,76.8906645,bank,,
HP State Cooperative Bank,31.5126662,76.8841524,bank,,
Bank,31.5231759,76.8863657,bank,,
State Bank of India,31.5353973,76.8903014,bank,,
HP State Cooperative Bank,31.5323988,76.8883,bank,,
Federal Bank,8.535379,76.9448687,bank,,
Canara Bank,8.5347829,76.9473309,bank,,
Karnataka Bank,13.0218507,77.6501901,bank,,
State Bank of India,13.055882,80.1933646,bank,,
Bank,13.0619832,80.1970943,bank,,
State Bank of India,30.4138731,76.5198474,bank,,
State bank of India (SBI),13.0567896,80.1923417,bank,,
Bank of India,13.0016893,77.5694475,bank,,
Indian Overseas Bank,12.9546627,80.1353506,bank,,
IndusInd Bank,13.0333714,77.5689251,bank,,
ING Vysya,13.033237,77.5690007,bank,,
Punjab National Bank,13.1018679,80.2801769,bank,,
HDFC Bank,13.0085194,77.5688573,bank,,
UCO Bank,13.0055316,77.56985,bank,,
SVC Bank,13.0019378,77.5665159,bank,,
State Bank of India,8.5078422,76.9621424,bank,,
HSBC,8.5108504,76.9626574,bank,,
Kotak Mahindra Bank,13.0011328,77.5691982,bank,,
Syndicate Bank,13.0084832,77.5692697,bank,,
State Bank of India,13.0183173,77.5645529,bank,,
ICICI Bank,28.4307541,77.2965476,bank,,
HDFC Bank,17.3684348,78.4732956,bank,,
State Bank of India,31.2475381,77.0881664,bank,,
HP State Cooperative Bank,31.2398451,77.1220059,bank,,
State Bank of India,31.449082,77.629607,bank,,
Central Bank,19.042572,72.9319048,bank,,
HDFC BANK ATM,17.4083957,78.4977836,bank,,
ICICI Bank,17.4026633,78.5098774,bank,,
State Bank of India,17.4051873,78.5107256,bank,,
Oriental Bank of Commerce,17.4017054,78.5095716,bank,,
State Bank of India,17.2483917,80.1476318,bank,,
IDBI Bank,13.033027,80.2577325,bank,,
HDFC Bank,19.1669845,73.2343015,bank,,
Bank of India,19.1665082,73.2321665,bank,,
Canera Bank,19.1674,73.2387218,bank,,
HDFC Bank,25.9269104,83.5661857,bank,,
State Bank of India,25.9300451,83.5666861,bank,,
State Bank of India,12.9819402,77.5955017,bank,,
Kotak Mahindra Bank,12.9762175,77.5993135,bank,,
Canara Bank,12.9885568,77.5923112,bank,,
HDFC Bank,12.9888226,77.592415,bank,,
Canara Bank,12.9681567,77.5876645,bank,,
State Bank of India,12.9681499,77.5880527,bank,,
State Bank of India,13.0074751,77.5793045,bank,,
Dhanlaxmi Bank,12.9751175,77.5976204,bank,,
Yes Bank,12.9756522,77.597345,bank,,
Corporation Bank,12.9723026,77.5863596,bank,,
State Bank of India,13.0139649,77.57891,bank,,
Punjab National Bank,13.0077699,77.5794951,bank,,
Bank of Baroda,13.0071676,77.5790958,bank,,
Karnataka Bank,13.0080052,77.5796762,bank,,
Syndicate Bank,13.0080972,77.5797261,bank,,
Canara Bank,12.98693,77.5951971,bank,,
Indian Bank,12.9993627,77.6008367,bank,,
Bank of Baroda,18.5659084,73.7715441,bank,,
State Bank of India,17.2638173,80.1437605,bank,,
State Bank of India,32.1066288,76.5349281,bank,,
ICICI Bank,12.9706824,77.599609,bank,,
Bank of India,12.9708631,77.6010396,bank,,
Valavoor Cooperative bank,9.7491817,76.6439551,bank,,
333,9.7424437,76.6113881,bank,,
"St. Bank of travancore, Marangattupilly Branch",9.7426805,76.6110383,bank,,
State Bank of India,32.3010603,76.0895868,bank,,
ICICI Bank,17.2492402,80.1539877,bank,,
Karur Vysya Bank,11.2791005,77.5843977,bank,,
State Bank of India,11.2716882,77.5769091,bank,,
Indian Bank,11.0409388,76.9823079,bank,,
South Indian Bank,11.0404877,76.9817062,bank,,
State Bank of India,17.2404283,80.1429398,bank,,
ING Vysya Bank,17.2447401,80.138423,bank,,
Bank of Baroda,18.5544482,73.7987406,bank,,
HDFC Bank,28.4219471,77.0910155,bank,,
HDFC Bank,17.247943,80.147716,bank,,
Corporation Bank,17.2485088,80.1466718,bank,,
Canara Bank,17.4128068,78.4901857,bank,,
Punjab National Bank,32.8321365,76.1548913,bank,,
HP State Cooperative Bank,32.8345414,76.1480137,bank,,
State Bank of India,30.3772911,75.5476982,bank,,
State Bank of India,10.9978634,76.9675763,bank,,
Bank of Baroda,10.995267,76.9685972,bank,,
State Bank of India,32.726244,76.662628,bank,,
Kangra Central Cooperative Bank,32.7258612,76.6637438,bank,,
HDFC Bank,17.4447424,78.464743,bank,,
State Bank of India,17.4433171,78.4768552,bank,,
Canara Bank,17.4368946,78.5173462,bank,,
Axis Bank,17.4289334,78.5275174,bank,,
ING,17.4240643,78.4238496,bank,,
IDBI Bank,17.4237643,78.4283681,bank,,
