name,lat,lng,type,state,district
VHSE & HSE School,11.3186799,75.9304171,school,,
"Government Primary School, Hilling",32.3598212,76.489426,school,,
"Government High School, Lamu",32.3689055,76.5128192,school,,
Government School;Raman IT,12.2978617,76.6431092,school,,
Govt School for Blind,10.7786643,79.1297275,school,,
Madrassa,11.070387,76.3404236,school,,
Kshm arts college,11.0600064,76.3390289,school,,
"Government Upper Primary School, Chalava",11.0751491,76.3454339,school,,
"Government Middle School, Dyori",31.7192978,77.0849922,school,,
Budha Dal Public School,30.3195521,76.3953388,school,,
MES Educational Complex,11.0650391,76.3357545,school,,
Kalladi High School,11.001304,76.3946076,school,,
Madrassa,11.0364508,76.3756676,school,,
Madrassa,11.0607477,76.345609,school,,
Victory College,11.061155,76.3467992,school,,
NSN School,12.9426246,80.1416397,school,,
Government Middle School Bagoda,32.1206802,76.4909477,school,,
"Government Senior Secondary School, Tang",32.1640208,76.4002639,school,,
Kendriya Vidyalaya,32.1755321,76.3813912,school,,
"Government Senior Secondary School, Sidhyani",31.5974483,76.8459333,school,,
"Government Middle School, Kalkhar",31.6013502,76.8279239,school,,
School,30.837332,75.9704818,school,,
School,12.3065284,75.1043174,school,,
Government Primary School Maiti,32.21065,76.2728787,school,,
Govt. Girls Sr. Sec,30.8477136,75.8660054,school,,
Government Higher Secondary School,10.3750267,76.157628,school,,
Stella Maris School,13.0064539,77.5780313,school,,
"Govt Higher Secondary School, Pudhupattinam",12.5032154,80.1549784,school,,
Madrasa-e Arabiya,12.9430867,77.5994637,school,,
Last School,11.9861795,79.8375198,school,,
Anand Marg Public School,31.5340116,76.9024047,school,,
"Government Middle School, Sundernagar",31.5314167,76.8894558,school,,
"Government Senior Secondary School, Sundernagar",31.5210422,76.885039,school,,
Woodstock School,30.4540018,78.1010015,school,,
"Technical Higher Secondary School, Pattom",8.5347894,76.9480773,school,,
Shri Venkateshwara Matric. Higher Secondary School,10.7839452,79.1244736,school,,
Government Boys Higher Secondary School,12.953827,80.1368303,school,,
Lakshmi Ammal School,12.9519873,80.1345334,school,,
Chinmaya Vidyalaya,13.060167,80.1937294,school,,
St. John's Matriculation Higher Secondary School,13.0474865,80.1873415,school,,
Pax,30.3146346,76.4282946,school,,
Government Girls Higher Secondary School,12.9523982,80.1344901,school,,
B. P. Indian,13.0011737,77.5683395,school,,
Father Mathews School,13.0457661,77.5416305,school,,
primary school,32.254518,75.5829436,school,,
Vani Vilas,13.0092653,77.5621798,school,,
Kanmani Montessori School,13.0735855,80.2088301,school,,
Ambal Metriculation School,13.0734099,80.2062046,school,,
Govt.Sr.Sec.School UGGI,31.2094811,75.4335842,school,,
NSS High School,9.39997,76.6124672,school,,
Government Primary School Khadbai,32.2760857,76.2931923,school,,
St. George High School,9.9469737,76.3961664,school,,
"Government Primary School, Nehar",31.4006236,76.8761829,school,,
"Government Primary School, Hadaboi",31.3064367,77.005252,school,,
"Saraswati Vidya Mandir, Tattapani",31.248249,77.0932378,school,,
"Government Primary School, Palyadh",31.243402,77.1003249,school,,
"Government Middle School, Sunni",31.2449774,77.1216175,school,,
"Government High School, Badhal",31.5423969,77.8140344,school,,
Harvest Public School,17.2357187,80.159109,school,,
Nirmal Hridai High School,17.2560775,80.1488363,school,,
S.V.E.S High School,17.4054551,78.5122245,school,,
Jyothi Bala Mandir High School,17.4075707,78.5135035,school,,
Nirmal Hridai Branch School,17.2562051,80.1422719,school,,
SFS High School & Jr. College,21.1608012,79.0816915,school,,
Modern English School,19.065657,72.9063356,school,,
St. Sara's School,12.946945,77.6175314,school,,
"VVLP School, Edakkulam",10.6095001,76.1841408,school,,
"Santha Higher Secondary School , Avanoor",10.6074579,76.1796386,school,,
ANM Upper Primary School Manithara,10.5997955,76.1854874,school,,
Oriental Higher Secondary School,10.7878238,79.131127,school,,
Kalyanasundaram Higher Secondary School,10.7907195,79.1320295,school,,
Veeraraghava Higher Secondary School,10.7885593,79.1361487,school,,
Deccan school,12.9921674,77.5683888,school,,
Anganavadi,12.991587,77.5684205,school,,
Government School,12.9496275,77.6139658,school,,
Methodist church school,12.9497624,77.6143357,school,,
Adithya public school,12.9499206,77.6151518,school,,
Nagasena Vidyalaya,13.0140892,77.5760778,school,,
"Government High School, Kuttippuram",10.8455743,76.0367103,school,,
Advanced Animation Academy,13.0089647,77.580665,school,,
Wisdom Nursery and Primary School,10.7672606,79.1161225,school,,
Vasavi Education Trust School,12.9081457,77.5929709,school,,
Health workers training,17.2493248,80.1510498,school,,
Stella Maris School,10.7845811,79.1427239,school,,
Kalpataru Institute of Technology,13.2631185,76.4550743,school,,
School,17.5905091,74.4509957,school,,
Tiny Tots,17.2546083,80.1418378,school,,
Noble Kids,17.2593917,80.1437316,school,,
Century School,17.2444652,80.1529021,school,,
Jingle Bell School,17.3957311,78.4884345,school,,
St Marys Boys High School,9.7563503,76.5616842,school,,
St Marys Girls High School,9.7541685,76.5623197,school,,
Adivasi Ashramshala School,19.0266145,73.1727475,school,,
"St. Marys L.P. School, Palackattumala",9.7454105,76.6308295,school,,
K R Narayanan Govt LP School,9.7709879,76.6110309,school,,
St. Thomas Higher Secondary School Pala,9.7103126,76.6790678,school,,
"Government Primary School, Kothikodh",32.0812395,76.7959327,school,,
"Government Primary School, Swarh",32.0851086,76.8530041,school,,
"Government Primary School, Chherna",32.0870937,76.8535424,school,,
"Government Primary School, Kadingcha",32.0356358,76.9989254,school,,
"Government Primary School, Chalah",32.028636,77.0043103,school,,
"Government Primary School, Gramang",32.0176787,77.0117815,school,,
"Goverment Senior Secondary School, Shalang",31.9979334,77.0289962,school,,
Govt L.P School Andoor,9.7357265,76.6337971,school,,
Government Boys and Girls Senior Secondary School,28.6114104,76.9877135,school,,
Future School,12.0119983,79.8158444,school,,
Transition School,12.013792,79.8162665,school,,
"Government High School, Barehi",32.4445305,76.301634,school,,
"Government Primary School, Barehi",32.4452521,76.3018802,school,,
DAV Public School Bharmour,32.4424815,76.5379928,school,,
"Hill Modern Public School, Bharmour",32.4425231,76.5380749,school,,
"Government High School, Mandah",32.530361,76.4520472,school,,
"Government Primary School, Upper Basnoor",32.20184,76.2164601,school,,
"Government Primary School, Rehlu",32.2250084,76.2113367,school,,
"Government High School, Dodhamb",32.1948766,76.2309466,school,,
Kinnera High School,17.2527663,80.1507781,school,,
"Government Senior Secondary School, Paraur",32.1156839,76.4687256,school,,
"Government Senior Secondary School, Dadh",32.144016,76.4157149,school,,
"Government High School, Jia",32.1554025,76.4463216,school,,
Mannackanad Govt. U P School,9.7587185,76.5877693,school,,
"Narayana Junior College, AIEEE",17.4004331,78.4883969,school,,
Holy Mary Girls High School,17.404402,78.4578133,school,,
St.Josephs High School,17.3937581,78.4524941,school,,
Mominan Govt High,17.2428045,80.1484648,school,,
Ideal Model,17.2429194,80.1487012,school,,
Goutham Model School,17.4015388,78.484836,school,,
"Government Vocational Higher Secondary School, Meenchanda",11.2149117,75.7966172,school,,
Sujatha High School,17.3947951,78.4730227,school,,
Little Flower High School,17.393638,78.474754,school,,
Little Flower Primary School,17.3925192,78.4740505,school,,
CMS Matriculation Higher Secondary School,11.0408776,76.9816972,school,,
"Government Senior Secondary School, Lohardi",32.0724371,76.8577735,school,,
"Government Senior Secondary School, Bagli",32.1544481,76.2964646,school,,
Little Indians,17.2394409,80.1455818,school,,
