name,lat,lng,type,state,district
ANGANWADI,17.0341788,78.8878611,daycare,,
anganvadi kolathur,12.455726,75.1082082,daycare,,
Daycare,11.2498524,77.0084414,daycare,,
Om Farms & Nursery,18.7467114,73.6274793,daycare,,
Sri Maruthi Nursery,12.9522659,77.5897266,daycare,,
jawahar balabavan,10.5320513,76.2188804,daycare,,
NSS Bal Bhavan,10.5644814,76.224932,daycare,,
cheruvannur nursery,11.1375183,76.1925126,daycare,,
Daycare,11.1692359,76.1781947,daycare,,
Anganwadi,11.1647716,76.1635841,daycare,,
Elankur Anganavadi,11.1572374,76.1624538,daycare,,
Chemmaram Anganvadi,11.1477146,76.1134968,daycare,,
Irshadussibiyan,11.148287,76.1184737,daycare,,
Anganvadi,11.1571251,76.1169189,daycare,,
Anganwadi,11.1597843,76.1084936,daycare,,
Anganwadi,11.1605551,76.1814369,daycare,,
Neelangode Nursery,11.1716878,76.1168124,daycare,,
"Anganawadi,Manavari",8.4442942,77.1347076,daycare,,
ICA boys hostel,16.1855357,81.1467756,daycare,,
"Nursery,Thampuranpadi",10.6171929,76.0277291,daycare,,
Ponnamkayam Ankanavadi,11.3894713,76.0393583,daycare,,
Fathima Matha EMLP And Nursery School,10.9119324,75.9185764,daycare,,
School of Bangalore,8.8691418,76.6097433,daycare,,
Anganwadi,8.6068903,76.9954099,daycare,,
Dolls City,9.5904698,76.5751249,daycare,,
Anganavadi,10.2678017,76.2128783,daycare,,
Mini Anganwadi,10.0740146,76.2163895,daycare,,
Dharmagiri Mandiram,9.361948,76.6632923,daycare,,
Anganawady,10.126259,76.4230299,daycare,,
"Anganwadi Center Number 22, Keloth",12.3720865,75.1007626,daycare,,
Anganwadi,12.6019709,75.0795117,daycare,,
Kattakampal Y M C A.,10.6892463,76.0353073,daycare,,
Anganwadi,10.881652,76.1357107,daycare,,
Anganwadi,10.8770034,76.1381709,daycare,,
Anganwadi,10.8786376,76.1165174,daycare,,
St Jude India ChildCare Centres,18.992259,72.8294612,daycare,,
Vimal Rani nursery schol,10.5611538,76.1401991,daycare,,
Anganavadi,9.6323515,76.6911301,daycare,,
Anganwadi,10.0030588,76.5726465,daycare,,
Little Flower Nursery,9.4943252,76.5295572,daycare,,
MES Orphanage,11.2443984,76.1840452,daycare,,
Paradise playschool,9.4319424,76.569292,daycare,,
Daycare,9.8897567,76.7806807,daycare,,
Mutholapuram shappumpady anganwadi,9.8314016,76.559804,daycare,,
Bethlehem,9.9252837,76.7499965,daycare,,
Daycare,9.9423781,77.0221065,daycare,,
Anganavadi Center Number 3,11.3427032,75.7398735,daycare,,
Anganwadi,10.8778118,76.0114547,daycare,,
Aganvadi Manjachola,10.9435839,75.9930651,daycare,,
Daycare,10.1174631,76.4929879,daycare,,
Anganwadi,12.0230168,75.2615273,daycare,,
Assisi Baby Sadanam,9.5334887,76.8114036,daycare,,
Daycare,9.9290841,77.0558058,daycare,,
Anganvaadi,9.3347514,76.6245921,daycare,,
blossom,9.7012182,76.7579709,daycare,,
Daycare,9.5430019,76.6640186,daycare,,
Anganwadi,8.9815522,76.6503649,daycare,,
Aswathy Nursery School,10.0186017,76.3510219,daycare,,
chirstian mission service children home,8.503103,76.9322476,daycare,,
Anganvadi,9.2265543,76.7716174,daycare,,
Daycare,9.570475,76.6404106,daycare,,
Anganwadi,10.5816003,76.1967141,daycare,,
Anganwadi,11.9866332,75.3413401,daycare,,
darula orphanage,11.9421614,75.3914876,daycare,,
Anganwadi,11.9636902,75.3952282,daycare,,
Day care,9.8526534,76.3841142,daycare,,
Daycare,9.9806228,76.5847604,daycare,,
Daycare,9.9799888,76.5848247,daycare,,
Sreevidya Mandiram Nursery,11.3722927,75.8009898,daycare,,
Anganwadi,9.5237674,76.3293125,daycare,,
Anganvaadi,11.0083797,76.0676026,daycare,,
Daycare,9.9806923,76.5881909,daycare,,
Cherukunnu Anganavadi,11.9614782,75.3995617,daycare,,
Thadathilkund Anganavadi,11.0134441,76.142322,daycare,,
"Anganvadi, Kunnumpuram",12.0656769,75.2542378,daycare,,
Cno 74 Idimuzhikal,11.1649739,75.8761917,daycare,,
Anganwadi,9.9498743,76.3016974,daycare,,
ARWA Creche,19.0379137,72.9277801,daycare,,
Anganwadi,8.4763323,77.1356853,daycare,,
Anganavadi nellettil,8.7890576,76.6912937,daycare,,
Anganwadi Mattackadu,9.6781413,76.7900469,daycare,,
Government nursery,10.0377944,76.8777329,daycare,,
Anganvady Center Number 72,10.0157739,76.9419353,daycare,,
Anganvady center Number 92,10.0187568,76.9359299,daycare,,
Anganvady Center Number 73,10.0218233,76.9305579,daycare,,
Daycare,10.0335209,76.9235416,daycare,,
Anganvady Center Number 85,10.0070024,76.9801492,daycare,,
Daycare,9.9927439,76.9791029,daycare,,
Daycare,10.0309906,76.8652494,daycare,,
Daycare,10.0202157,76.8765787,daycare,,
Daycare,10.0427521,76.8054697,daycare,,
Anganvady Center Number 77,10.017172,76.9577021,daycare,,
Anganwadi,12.4034825,75.0445762,daycare,,
Anganwadi,12.4856709,74.9915509,daycare,,
Aaganwadi,21.2778711,81.6721159,daycare,,
Daycare,10.9967934,76.148442,daycare,,
Daycare,11.1593393,75.8736866,daycare,,
Anganwadi,8.8771617,76.6150074,daycare,,
